Status,Type,Price | Date,Address,Beds,Baths,Sqft,Lot Size Year Built $/sqft,
Off,,,,,,,,
Market,,2/9/17,"Irving, TX 75038",–,–,–,"5,260 sqft",–,–
Off,,,,,,,,,
"",LAND,–,2 Verandah Way,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,0.26 acres,–,–
Off,,,,,,,,,
"",LAND,–,1 Verandah Way,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,0.82 acres,–,–
Off,,,,,,,,,
"",LAND,–,1 Verandah Way,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,"3,651 sqft",–,–
Off,,,,,,,,,
"",LAND,–,7899 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,4.99 acres,–,–
Off,,,,,,,,,
"",LAND,–,7821 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,0.73 acres,–,–
Off,,,,,,,,,
"",LAND,–,7811 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,3.1 acres,–,–
Off,,,,,,,,,
"",LAND,–,7800 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75039",–,–,–,3.61 acres,–,–
Off,,,,,,,,,
"",LAND,–,6104 Valley View Ln,,,,,,
Market,,11/17/97,"Irving, TX 75038",–,–,–,640 sqft,–,–
Off,,,,,,,,,
"",LAND,–,6102 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,0.52 acres,–,–
Market,,9/14/20,"Irving, TX 75038",–,–,–,3.2 acres,–,–
Off,,,,,,,,,
"",LAND,–,4940 Valley View Ln,,,,,,
Market,,2/21/95,"Irving, TX 75038",–,–,–,0.84 acres,–,–
Off,,,,,,,,,
"",LAND,–,4900 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,0.51 acres,–,–
Off,,,,,,,,,
"",LAND,–,4828 Valley View Ln,,,,,,
Market,,2/1/95,"Irving, TX 75038",–,–,–,1.5 acres,–,–
Market,,–,"Irving, TX 75038",–,–,–,29.64 acres,–,–
Off,,,,,,,,,
"",LAND,–,4700 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,1.8 acres,–,–
Off,,,,,,,,,
"",LAND,–,4550 Valley View Ln,,,,,,
Market,,12/16/94,"Irving, TX 75038",–,–,–,1.46 acres,–,–
Off,,,,,,,,,
"",LAND,–,4502 Valley View Ln,,,,,,
Market,,–,"Irving, TX 75038",–,–,–,0.58 acres,–,–
Off,,,,,,,,,
